892.1ms wideRoadSignature src/game/cityWideRoads.ts:11
680.9ms graphFor src/game/cityPathfinding.ts:24
365.5ms cachedRoadPath src/game/cityPathfinding.ts:69
318.4ms allowsRoadStep src/game/cityDirections.ts:12
295.8ms findPath src/game/cityModel.ts:303
291.0ms replan src/game/cityTraffic.ts:704
220.3ms slotAt src/game/cityTraffic.ts:154
200.1ms roadIndex src/game/cityTraffic.ts:94
194.0ms (garbage collector) :0
193.5ms heldSlots src/game/cityTraffic.ts:210
184.2ms trafficTick src/game/cityTraffic.ts:961
176.9ms heldRange src/game/cityTraffic.ts:202
174.6ms allowsWideRoadStep src/game/cityWideRoads.ts:49
169.7ms grid src/game/cityTraffic.ts:463
161.0ms walkingPath src/game/cityJourneys.ts:28
148.2ms commitTripRoute src/game/cityTraffic.ts:682
124.0ms isYielding src/game/cityTraffic.ts:495
118.9ms junctionAreas src/game/junctionAreas.ts:3
112.6ms tripSlots src/game/cityTraffic.ts:219
102.7ms claim src/game/cityTraffic.ts:239
102.7ms (anonymous) src/game/cityTraffic.ts:102
89.9ms routingSnapshot src/game/cityRouting.ts:22
68.4ms roundaboutIndex src/game/cityRoundabouts.ts:28
65.5ms blockedTiles src/game/cityModel.ts:296
64.8ms directionSignature src/game/cityDirections.ts:20
59.9ms withRoadIndex src/game/cityTraffic.ts:82
57.2ms wideRoadTopology src/game/cityWideRoads.ts:16
51.6ms governingControl src/game/cityTraffic.ts:119
51.6ms (anonymous) src/game/cityTraffic.ts:122
46.7ms detectConflicts src/game/cityTraffic.ts:856
43.7ms busStopIssue src/game/cityTransit.ts:21
41.6ms allowed src/game/cityTraffic.ts:439
35.2ms civilianRoute src/game/cityRouting.ts:102
34.7ms advanceCity src/game/cityModel.ts:712
30.2ms stepWalkingJourneys src/game/cityJourneys.ts:120
